,x,y,time,theta
1410.0,328.84942626953125,132.49806213378906,56.42608451843262,-0.19912211117877243
1411.0,334.5,139.0,56.47404956817627,-0.1941808548743873
1412.0,336.5,133.5,56.53804922103882,-0.1983605899038659
1413.0,336.5,133.5,56.55505347251892,-0.1983605899038659
1414.0,336.25714111328125,131.78285217285156,56.60203814506531,-0.1996657232879388
1415.0,336.25714111328125,131.78285217285156,56.61704206466675,-0.1996657232879388
1416.0,336.25714111328125,131.78285217285156,56.633044719696045,-0.1996657232879388
1417.0,342.0,137.0,56.68223452568054,-0.19570065340057557
1418.0,342.0,137.0,56.69989514350891,-0.19570065340057557
1419.0,349.5,132.0,56.74590849876404,-0.199500673415494
1420.0,349.5,132.0,56.76091265678406,-0.199500673415494
1421.0,351.2120361328125,134.39004516601562,56.80992364883423,-0.19768413722856276
1422.0,351.2120361328125,134.39004516601562,56.827927589416504,-0.19768413722856276
1423.0,352.5,138.5,56.87393879890442,-0.19456079310696056
1424.0,355.5,136.0,56.93804359436035,-0.19646059798756405
1425.0,355.5,136.0,56.95204520225525,-0.19646059798756405
1426.0,358.5,137.5,57.002063035964966,-0.19532069239725233
1427.0,358.5,137.5,57.01706647872925,-0.19532069239725233
1428.0,358.5,137.5,57.03207015991211,-0.19532069239725233
1429.0,358.5,136.5,57.0822389125824,-0.19608062193974807
1430.0,358.5,136.5,57.09723997116089,-0.19608062193974807
1431.0,362.0,136.5,57.14666414260864,-0.19608062193974807
1432.0,362.0,136.5,57.16366720199585,-0.19608062193974807
1433.0,359.81707763671875,131.7073211669922,57.210052490234375,-0.19972313326847374
1434.0,359.81707763671875,131.7073211669922,57.227057456970215,-0.19972313326847374
1435.0,364.61383056640625,137.48373413085938,57.27406716346741,-0.19533305307029925
1436.0,363.7718505859375,133.296630859375,57.33808159828186,-0.19851515791565177
1437.0,363.7718505859375,133.296630859375,57.35208487510681,-0.19851515791565177
1438.0,365.0,136.0,57.40210008621216,-0.19646059798756405
1439.0,365.0,136.0,57.417104959487915,-0.19646059798756405
1440.0,365.0,136.0,57.43110752105713,-0.19646059798756405
1441.0,366.0,139.5,57.482123613357544,-0.1938009242864539
1442.0,366.0,139.5,57.49712681770325,-0.1938009242864539
1443.0,365.31719970703125,135.0806427001953,57.54613780975342,-0.1971592849993255
1444.0,365.31719970703125,135.0806427001953,57.56401753425598,-0.1971592849993255
1445.0,364.0,137.0,57.610034227371216,-0.19570065340057557
1446.0,364.0,137.0,57.62803673744202,-0.19570065340057557
1447.0,363.6212158203125,129.6212158203125,57.674046754837036,-0.20130881557524044
1448.0,365.620361328125,140.48147583007812,57.73884606361389,-0.19305516124368405
1449.0,365.620361328125,140.48147583007812,57.75584959983826,-0.19305516124368405
1450.0,367.5,133.0,57.80319142341614,-0.19874061043203978
1451.0,367.5,133.0,57.818195104599,-0.19874061043203978
1452.0,367.5,133.0,57.833080530166626,-0.19874061043203978
1453.0,364.0,138.0,57.88260841369629,-0.19494073895698089
1454.0,364.0,138.0,57.89761018753052,-0.19494073895698089
1455.0,363.5,135.5,57.946627616882324,-0.19684058151681438
1456.0,363.5,135.5,57.964011669158936,-0.19684058151681438
1457.0,362.5,138.0,58.01021647453308,-0.19494073895698089
1458.0,362.5,138.0,58.02721881866455,-0.19494073895698089
1459.0,364.0843811035156,137.15008544921875,58.074227809906006,-0.19558659937207684
1460.0,359.7406921386719,137.53131103515625,58.13805270195007,-0.19529689870393974
1461.0,359.7406921386719,137.53131103515625,58.153056621551514,-0.19529689870393974
1462.0,349.0,127.5,58.20221209526062,-0.2029213132449203
1463.0,349.0,127.5,58.218215465545654,-0.2029213132449203
1464.0,349.0,127.5,58.23322153091431,-0.2029213132449203
1465.0,354.0,131.5,58.282007694244385,-0.19988071581630829
1466.0,354.0,131.5,58.29701018333435,-0.19988071581630829
1467.0,361.0,141.0,58.346023082733154,-0.19266117866237023
1468.0,361.0,141.0,58.36302661895752,-0.19266117866237023
1469.0,352.5,134.0,58.41003441810608,-0.19798057672103292
1470.0,352.5,134.0,58.428038597106934,-0.19798057672103292
1471.0,354.0,140.0,58.474578619003296,-0.19342100137034973
1472.0,349.80908203125,136.80909729003906,58.5385046005249,-0.1958457265603668
1473.0,349.80908203125,136.80909729003906,58.55450797080994,-0.1958457265603668
1474.0,354.5,139.5,58.60252356529236,-0.1938009242864539
1475.0,354.5,139.5,58.61652636528015,-0.1938009242864539
1476.0,354.5,139.5,58.631529331207275,-0.1938009242864539
1477.0,356.5,140.5,58.68254518508911,-0.19304108615326093
1478.0,356.5,140.5,58.69854784011841,-0.19304108615326093
1479.0,350.9821472167969,136.98214721679688,58.74656343460083,-0.19571422026291274
1480.0,350.9821472167969,136.98214721679688,58.762566566467285,-0.19571422026291274
1481.0,357.0,134.5,58.81022357940674,-0.19760057091076594
1482.0,357.0,134.5,58.827226877212524,-0.19760057091076594
1483.0,349.2755126953125,126.36395263671875,58.8742036819458,-0.2037849614268975
1484.0,349.7803649902344,140.8208770751953,58.938042640686035,-0.1927972780543587
1485.0,349.7803649902344,140.8208770751953,58.952046394348145,-0.1927972780543587
1486.0,352.0,133.5,59.002060651779175,-0.1983605899038659
1487.0,352.0,133.5,59.01804876327515,-0.1983605899038659
1488.0,352.0,133.5,59.03198528289795,-0.1983605899038659
1489.0,353.5,137.0,59.08204126358032,-0.19570065340057557
1490.0,353.5,137.0,59.098045110702515,-0.19570065340057557
1491.0,352.0499267578125,138.38966369628906,59.146058797836304,-0.19464463609430532
1492.0,352.0499267578125,138.38966369628906,59.162063121795654,-0.19464463609430532
1493.0,352.0,133.0,59.21007800102234,-0.19874061043203978
1494.0,352.0,133.0,59.228081703186035,-0.19874061043203978
1495.0,346.84124755859375,132.2213897705078,59.27406048774719,-0.1993324007342086
1496.0,352.0,136.5,59.33798861503601,-0.19608062193974807
1497.0,352.0,136.5,59.35299229621887,-0.19608062193974807
1498.0,349.0,140.5,59.40200448036194,-0.19304108615326093
1499.0,349.0,140.5,59.41700839996338,-0.19304108615326093
1500.0,349.0,140.5,59.433013916015625,-0.19304108615326093
1501.0,350.5,135.0,59.48198223114014,-0.19722057250028685
1502.0,350.5,135.0,59.49898600578308,-0.19722057250028685
1503.0,346.5,140.5,59.5459988117218,-0.19304108615326093
1504.0,346.5,140.5,59.561001777648926,-0.19304108615326093
1505.0,352.5,138.0,59.60995626449585,-0.19494073895698089
1506.0,352.5,138.0,59.62595987319946,-0.19494073895698089
1507.0,348.5,136.0,59.673970460891724,-0.19646059798756405
1508.0,346.375,129.0,59.738200426101685,-0.20178103582164952
1509.0,346.375,129.0,59.75520420074463,-0.20178103582164952
1510.0,350.47796630859375,138.1299591064453,59.802215337753296,-0.19484198337951664
1511.0,350.47796630859375,138.1299591064453,59.81721806526184,-0.19484198337951664
1512.0,350.47796630859375,138.1299591064453,59.834221601486206,-0.19484198337951664
1513.0,349.5881042480469,138.22686767578125,59.88223338127136,-0.19476834315085567
1514.0,349.5881042480469,138.22686767578125,59.89823651313782,-0.19476834315085567
1515.0,347.2660827636719,136.71673583984375,59.946247577667236,-0.19591591541528458
1516.0,347.2660827636719,136.71673583984375,59.96325159072876,-0.19591591541528458
1517.0,342.5693664550781,133.63294982910156,60.01026177406311,-0.19825954381042232
1518.0,342.5693664550781,133.63294982910156,60.02826547622681,-0.19825954381042232
1519.0,347.7542419433594,139.75424194335938,60.07418942451477,-0.19360773864500885
1520.0,346.0,140.5,60.13804483413696,-0.19304108615326093
1521.0,346.0,140.5,60.154048919677734,-0.19304108615326093
1522.0,349.1949157714844,142.2796630859375,60.20206022262573,-0.19168890685698486
1523.0,349.1949157714844,142.2796630859375,60.21806335449219,-0.19168890685698486
1524.0,349.1949157714844,142.2796630859375,60.23306679725647,-0.19168890685698486
1525.0,348.09649658203125,138.09649658203125,60.2826464176178,-0.1948674114132921
1526.0,348.09649658203125,138.09649658203125,60.29764914512634,-0.1948674114132921
1527.0,347.5,139.5,60.346662282943726,-0.1938009242864539
1528.0,347.5,139.5,60.36230492591858,-0.1938009242864539
1529.0,341.5,140.5,60.41019153594971,-0.19304108615326093
1530.0,341.5,140.5,60.427983045578,-0.19304108615326093
1531.0,345.5648498535156,139.44595336914062,60.47400093078613,-0.19384199185359732
1532.0,340.5,142.5,60.53819036483765,-0.19152150281866456
1533.0,340.5,142.5,60.55419421195984,-0.19152150281866456
1534.0,335.24212646484375,141.89622497558594,60.60220551490784,-0.1919802329209332
1535.0,335.24212646484375,141.89622497558594,60.61904859542847,-0.1919802329209332
1536.0,335.24212646484375,141.89622497558594,60.63405656814575,-0.1919802329209332
1537.0,330.5,143.0,60.68197989463806,-0.19114162650432728
1538.0,330.5,143.0,60.696982860565186,-0.19114162650432728
1539.0,328.7197265625,140.7376708984375,60.74599528312683,-0.19286049927880194
1540.0,328.7197265625,140.7376708984375,60.76199913024902,-0.19286049927880194
1541.0,324.0,139.5,60.81000995635986,-0.1938009242864539
1542.0,324.0,139.5,60.82601356506348,-0.1938009242864539
1543.0,319.5,143.5,60.87397789955139,-0.19076175805205176
1544.0,313.2987976074219,142.9561309814453,60.93799185752869,-0.19117495579224575
1545.0,313.2987976074219,142.9561309814453,60.95499610900879,-0.19117495579224575
1546.0,315.0,138.0,61.00217533111572,-0.19494073895698089
1547.0,315.0,138.0,61.016178369522095,-0.19494073895698089
1548.0,315.0,138.0,61.03118133544922,-0.19494073895698089
1549.0,313.5,136.5,61.08202624320984,-0.19608062193974807
1550.0,313.5,136.5,61.09903073310852,-0.19608062193974807
1551.0,312.5,143.5,61.14604067802429,-0.19076175805205176
1552.0,312.5,143.5,61.16404438018799,-0.19076175805205176
1553.0,310.8888244628906,138.3483428955078,61.20991635322571,-0.1946760352783254
1554.0,310.8888244628906,138.3483428955078,61.22792029380798,-0.1946760352783254
1555.0,311.5134582519531,138.64910888671875,61.27417349815369,-0.19444748797486272
1556.0,305.0,135.0,61.338045835494995,-0.19722057250028685
1557.0,305.0,135.0,61.35504937171936,-0.19722057250028685
1558.0,305.0,134.5,61.402215242385864,-0.19760057091076594
1559.0,305.0,134.5,61.41721868515015,-0.19760057091076594
1560.0,305.0,134.5,61.43222641944885,-0.19760057091076594
1561.0,299.0,140.0,61.48223352432251,-0.19342100137034973
1562.0,299.0,140.0,61.496235609054565,-0.19342100137034973
1563.0,296.9517517089844,140.36587524414062,61.546247482299805,-0.19314299746757296
1564.0,296.9517517089844,140.36587524414062,61.56325101852417,-0.19314299746757296
1565.0,296.5,133.5,61.610262870788574,-0.1983605899038659
1566.0,296.5,133.5,61.62796998023987,-0.1983605899038659
1567.0,300.28790283203125,137.46546936035156,61.673983097076416,-0.19534693274741516
1568.0,298.6662292480469,135.7404022216797,61.73804330825806,-0.1966578828154664
1569.0,298.6662292480469,135.7404022216797,61.75304627418518,-0.1966578828154664
1570.0,290.5648193359375,134.7983856201172,61.802053451538086,-0.1973737978959889
1571.0,290.5648193359375,134.7983856201172,61.81605648994446,-0.1973737978959889
1572.0,290.5648193359375,134.7983856201172,61.83205986022949,-0.1973737978959889
1573.0,290.5,138.3000030517578,61.88216948509216,-0.19471276821539713
1574.0,290.5,138.3000030517578,61.898173332214355,-0.19471276821539713
1575.0,274.0,130.4545440673828,61.94618463516235,-0.2006753743332729
1576.0,274.0,130.4545440673828,61.96319270133972,-0.2006753743332729
1577.0,261.0,126.0,62.010202407836914,-0.20406165383373231
1578.0,261.0,126.0,62.0279655456543,-0.20406165383373231
1579.0,234.0,149.0,62.07416772842407,-0.18658373173914894
